epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11928,1.61423,1.49403,1.33046,0.85165,0.83033,0.88648,0.46543,1.53949,0.99246,1.24826,0.003332,0.003332,0.003332
2,1006.99,1.55242,1.13743,1.29113,0.86879,0.77556,0.86254,0.45583,1.51384,1.00018,1.22714,0.00659934,0.00659934,0.00659934
3,1758.13,1.66906,1.32489,1.37129,0.88305,0.65087,0.80324,0.41762,1.62954,1.17657,1.39367,0.00980069,0.00980069,0.00980069
4,2526.91,1.71503,1.3893,1.42046,0.86073,0.78602,0.86578,0.47349,1.54266,1.03585,1.30664,0.009703,0.009703,0.009703
5,3284.1,1.64971,1.27415,1.37395,0.88871,0.8165,0.88723,0.5011,1.43944,0.99968,1.22343,0.009604,0.009604,0.009604
6,4042.66,1.59877,1.17931,1.33976,0.93311,0.82544,0.91391,0.53073,1.41392,0.88102,1.20699,0.009505,0.009505,0.009505
7,4798.28,1.55601,1.10658,1.3191,0.91321,0.88778,0.93651,0.55324,1.39484,0.8615,1.19029,0.009406,0.009406,0.009406
8,5553.98,1.53394,1.07576,1.30895,0.94689,0.88922,0.94683,0.5626,1.37393,0.80812,1.18332,0.009307,0.009307,0.009307
9,6309.17,1.49696,1.03521,1.29018,0.9394,0.90025,0.95063,0.57423,1.31522,0.76962,1.15131,0.009208,0.009208,0.009208
10,7073.65,1.48105,1.00278,1.27357,0.93811,0.90713,0.9573,0.5755,1.33033,0.75446,1.15203,0.009109,0.009109,0.009109
11,7831.45,1.46031,0.97324,1.26326,0.94854,0.91272,0.96105,0.59225,1.29097,0.72075,1.1373,0.00901,0.00901,0.00901
12,8597.54,1.44378,0.95381,1.25016,0.96333,0.91716,0.96631,0.60804,1.2652,0.69541,1.13046,0.008911,0.008911,0.008911
13,9362.5,1.42546,0.93238,1.24037,0.96266,0.92768,0.97313,0.6153,1.26973,0.6787,1.1147,0.008812,0.008812,0.008812
14,10119.7,1.40974,0.91118,1.23704,0.93491,0.93127,0.96731,0.60697,1.26187,0.66832,1.09824,0.008713,0.008713,0.008713
15,10875.3,1.40867,0.89949,1.23151,0.94292,0.95262,0.9744,0.62788,1.23207,0.64321,1.09417,0.008614,0.008614,0.008614
16,11632.4,1.4018,0.88667,1.22363,0.94556,0.95282,0.97474,0.62437,1.24958,0.63195,1.10448,0.008515,0.008515,0.008515
17,12388.6,1.38723,0.87726,1.22075,0.95984,0.95361,0.98091,0.62676,1.23447,0.5997,1.09661,0.008416,0.008416,0.008416
18,13151.2,1.36885,0.85468,1.21015,0.97295,0.95012,0.97914,0.64177,1.21746,0.59341,1.08419,0.008317,0.008317,0.008317
19,13916.4,1.37505,0.85625,1.21655,0.96426,0.94205,0.97832,0.64734,1.19893,0.59833,1.06998,0.008218,0.008218,0.008218
20,14672.5,1.34544,0.82209,1.19446,0.9625,0.96016,0.97821,0.6505,1.1884,0.58208,1.05911,0.008119,0.008119,0.008119
21,15439.2,1.34754,0.82629,1.19192,0.97202,0.97007,0.98044,0.65669,1.17682,0.56469,1.0591,0.00802,0.00802,0.00802
22,16205,1.33656,0.81473,1.18622,0.9724,0.96649,0.98301,0.65981,1.17041,0.55844,1.04946,0.007921,0.007921,0.007921
23,16961.1,1.33633,0.80307,1.18899,0.9628,0.96812,0.98571,0.66098,1.17753,0.55797,1.05477,0.007822,0.007822,0.007822
24,17716.1,1.32583,0.79377,1.18242,0.96845,0.98005,0.98917,0.67254,1.14322,0.54589,1.04233,0.007723,0.007723,0.007723
25,18472,1.31409,0.79012,1.18124,0.96097,0.96509,0.97874,0.66831,1.15812,0.54872,1.04986,0.007624,0.007624,0.007624
26,19236.8,1.31618,0.78177,1.17861,0.96428,0.97257,0.98077,0.67143,1.13921,0.53548,1.03384,0.007525,0.007525,0.007525
27,20004.2,1.30767,0.77638,1.17261,0.95845,0.97257,0.98771,0.68009,1.11778,0.53102,1.02896,0.007426,0.007426,0.007426
28,20760.9,1.30393,0.77936,1.17765,0.97427,0.97007,0.98713,0.68913,1.11214,0.52018,1.02504,0.007327,0.007327,0.007327
29,21517,1.30244,0.76956,1.17013,0.97371,0.97506,0.98425,0.6846,1.11838,0.51764,1.02607,0.007228,0.007228,0.007228
30,22271.6,1.29112,0.75806,1.16795,0.97749,0.97458,0.98187,0.68094,1.10699,0.50938,1.02112,0.007129,0.007129,0.007129
31,23029.3,1.27806,0.74922,1.15516,0.96885,0.97257,0.98369,0.68724,1.10738,0.50627,1.01997,0.00703,0.00703,0.00703
32,23792.2,1.2737,0.74639,1.15499,0.98391,0.97257,0.98732,0.69514,1.09292,0.49428,1.00627,0.006931,0.006931,0.006931
33,24549.5,1.27159,0.73277,1.15406,0.97435,0.98254,0.98825,0.69738,1.08682,0.49036,1.00515,0.006832,0.006832,0.006832
34,25314.8,1.27209,0.73356,1.15209,0.97948,0.98504,0.98992,0.70056,1.07699,0.48658,1.00378,0.006733,0.006733,0.006733
35,26069.2,1.26289,0.72295,1.14933,0.97772,0.98507,0.99076,0.70141,1.07346,0.48346,1.0022,0.006634,0.006634,0.006634
36,26821.7,1.26117,0.72487,1.14919,0.9826,0.9855,0.99101,0.70641,1.06341,0.47765,0.99697,0.006535,0.006535,0.006535
37,840.08,1.23732,0.70304,1.13663,0.98185,0.98753,0.99063,0.70773,1.05404,0.4731,0.99483,0.006436,0.006436,0.006436
38,1600.92,1.24237,0.70115,1.13527,0.98413,0.98753,0.99047,0.70798,1.04976,0.46982,0.99225,0.006337,0.006337,0.006337
39,2360.08,1.23615,0.70038,1.14004,0.98505,0.98573,0.99122,0.71284,1.0509,0.46843,0.99099,0.006238,0.006238,0.006238
40,3140.12,1.24355,0.70565,1.13403,0.98012,0.98346,0.99103,0.71347,1.0473,0.46884,0.98932,0.006139,0.006139,0.006139
41,3915.14,1.23531,0.701,1.12923,0.98019,0.9869,0.99098,0.71555,1.04522,0.46463,0.98676,0.00604,0.00604,0.00604
42,4688.91,1.22944,0.68623,1.12624,0.98023,0.98938,0.99039,0.71273,1.04424,0.46378,0.98412,0.005941,0.005941,0.005941
43,5465.99,1.22893,0.69213,1.13074,0.98018,0.98678,0.98994,0.71159,1.04056,0.46359,0.98064,0.005842,0.005842,0.005842
44,6239.41,1.21568,0.68414,1.12314,0.97779,0.98804,0.9898,0.7144,1.03425,0.45897,0.97839,0.005743,0.005743,0.005743
45,7012.03,1.22127,0.68796,1.12573,0.97275,0.99002,0.9903,0.71656,1.03293,0.45693,0.97782,0.005644,0.005644,0.005644
46,7786.71,1.20649,0.67642,1.12116,0.98103,0.98005,0.99032,0.71914,1.02725,0.45673,0.97626,0.005545,0.005545,0.005545
47,8560.86,1.20039,0.67263,1.11654,0.98007,0.98099,0.99038,0.7203,1.02518,0.45513,0.9763,0.005446,0.005446,0.005446
48,9338.53,1.19281,0.66584,1.10817,0.98005,0.97989,0.99016,0.72132,1.02334,0.45505,0.97466,0.005347,0.005347,0.005347
49,10116.3,1.19098,0.6582,1.11068,0.97573,0.98254,0.99028,0.72323,1.01834,0.45141,0.97292,0.005248,0.005248,0.005248
50,10913.9,1.19218,0.65851,1.10663,0.97389,0.98753,0.99059,0.72259,1.01525,0.44851,0.97145,0.005149,0.005149,0.005149
51,11700.3,1.18853,0.65204,1.10192,0.97537,0.98737,0.99049,0.72409,1.01407,0.44539,0.97054,0.00505,0.00505,0.00505
52,12480.8,1.17995,0.65068,1.10113,0.97606,0.98504,0.99042,0.7246,1.0115,0.4434,0.96952,0.004951,0.004951,0.004951
53,13255,1.16777,0.63828,1.0988,0.97705,0.98753,0.99048,0.72464,1.0104,0.44165,0.969,0.004852,0.004852,0.004852
54,14034.6,1.17492,0.64296,1.102,0.97331,0.98753,0.99036,0.72621,1.00877,0.43981,0.96879,0.004753,0.004753,0.004753
55,14807.2,1.14675,0.62454,1.08675,0.97533,0.98574,0.99031,0.72713,1.00785,0.43805,0.96751,0.004654,0.004654,0.004654
56,15588.9,1.15732,0.63366,1.09115,0.97301,0.98875,0.99032,0.72963,1.0047,0.43696,0.96598,0.004555,0.004555,0.004555
57,16371.2,1.15078,0.62284,1.08871,0.97301,0.98898,0.99029,0.72909,1.00411,0.4366,0.96551,0.004456,0.004456,0.004456
58,17148.5,1.15254,0.62281,1.09161,0.97302,0.98915,0.99032,0.72993,1.00278,0.43665,0.96478,0.004357,0.004357,0.004357
59,17925,1.14424,0.61176,1.08349,0.97541,0.9893,0.99065,0.73005,0.9993,0.43493,0.96246,0.004258,0.004258,0.004258
60,18707.4,1.13095,0.60739,1.07966,0.97527,0.99002,0.99068,0.73006,0.99771,0.43461,0.96107,0.004159,0.004159,0.004159
61,19479.3,1.12923,0.60598,1.07852,0.97294,0.99002,0.99048,0.73006,0.99698,0.43195,0.96005,0.00406,0.00406,0.00406
62,20257.3,1.1233,0.60208,1.07466,0.97317,0.99002,0.9904,0.72956,0.99573,0.43092,0.95916,0.003961,0.003961,0.003961
63,21032.5,1.12064,0.60561,1.08072,0.97468,0.99002,0.99034,0.72973,0.99427,0.43078,0.95842,0.003862,0.003862,0.003862
64,21808.3,1.11944,0.59669,1.0745,0.97468,0.99002,0.99023,0.72972,0.99388,0.43108,0.95784,0.003763,0.003763,0.003763
65,22582.4,1.10895,0.59092,1.06865,0.9748,0.99002,0.98999,0.73092,0.9917,0.43025,0.95674,0.003664,0.003664,0.003664
66,23357.6,1.10097,0.58316,1.06105,0.97515,0.99002,0.98987,0.73149,0.98923,0.4289,0.95569,0.003565,0.003565,0.003565
67,24132.5,1.09242,0.5871,1.06114,0.97575,0.99002,0.99,0.73282,0.98797,0.42786,0.95461,0.003466,0.003466,0.003466
68,24907.8,1.08992,0.57345,1.05961,0.97638,0.99002,0.98999,0.7343,0.98641,0.42707,0.95364,0.003367,0.003367,0.003367
69,25687.4,1.0935,0.57463,1.05907,0.9766,0.99002,0.98992,0.73438,0.9838,0.42511,0.95258,0.003268,0.003268,0.003268
70,26463.8,1.08765,0.57159,1.05713,0.97683,0.99002,0.98998,0.73581,0.98154,0.42319,0.95166,0.003169,0.003169,0.003169
71,27237.5,1.08857,0.5746,1.05951,0.97667,0.99002,0.98999,0.73591,0.98004,0.42202,0.95061,0.00307,0.00307,0.00307
72,28016.4,1.08526,0.56656,1.05655,0.97781,0.99002,0.98997,0.73746,0.97757,0.42031,0.94954,0.002971,0.002971,0.002971
73,707.655,1.06941,0.55761,1.05492,0.97686,0.99002,0.98997,0.73832,0.97727,0.41982,0.94957,0.002872,0.002872,0.002872
74,1364.02,1.06393,0.55277,1.05104,0.97668,0.99002,0.99004,0.7374,0.97643,0.41959,0.94902,0.002773,0.002773,0.002773
75,2012.85,1.06461,0.55108,1.05479,0.97674,0.99002,0.99008,0.73851,0.97577,0.41891,0.94853,0.002674,0.002674,0.002674
76,2654.4,1.07025,0.55503,1.04829,0.97674,0.99002,0.99007,0.73962,0.97453,0.41827,0.94781,0.002575,0.002575,0.002575
77,3297.7,1.06398,0.55465,1.04506,0.97784,0.99036,0.99008,0.73975,0.97446,0.41777,0.9471,0.002476,0.002476,0.002476
78,3943.19,1.0541,0.54456,1.04134,0.97784,0.99031,0.99001,0.74174,0.97279,0.41789,0.94661,0.002377,0.002377,0.002377
79,4603.18,1.05351,0.54498,1.04532,0.97784,0.99038,0.98995,0.7419,0.97109,0.4167,0.94596,0.002278,0.002278,0.002278
80,5246.89,1.04027,0.53642,1.03911,0.97774,0.98572,0.98987,0.74267,0.97065,0.41607,0.94521,0.002179,0.002179,0.002179
81,5889.45,1.04908,0.54201,1.04135,0.9778,0.98855,0.98986,0.74121,0.96933,0.41423,0.94438,0.00208,0.00208,0.00208
82,6532.04,1.03167,0.53345,1.03726,0.9797,0.98504,0.98979,0.74162,0.96798,0.41319,0.94388,0.001981,0.001981,0.001981
83,7174.52,1.02742,0.5276,1.03255,0.97547,0.99157,0.98989,0.74183,0.96714,0.41206,0.9431,0.001882,0.001882,0.001882
84,7816.9,1.02111,0.52673,1.02791,0.97525,0.99252,0.98994,0.74416,0.96543,0.41156,0.94244,0.001783,0.001783,0.001783
85,8460.62,1.01683,0.5207,1.02677,0.98015,0.98527,0.99005,0.74492,0.96332,0.40995,0.9414,0.001684,0.001684,0.001684
86,9104.22,1.02115,0.52161,1.02821,0.98016,0.98582,0.99011,0.74623,0.96164,0.40818,0.94069,0.001585,0.001585,0.001585
87,9746.74,1.0141,0.51303,1.02314,0.98016,0.98566,0.9901,0.74701,0.96046,0.40833,0.93998,0.001486,0.001486,0.001486
88,10389.5,1.00726,0.51412,1.02056,0.98028,0.98504,0.99006,0.74872,0.9587,0.40798,0.93906,0.001387,0.001387,0.001387
89,11031.3,0.99452,0.50367,1.01786,0.98267,0.98504,0.99004,0.74884,0.95775,0.40763,0.9384,0.001288,0.001288,0.001288
90,11673.7,0.99943,0.50815,1.021,0.98295,0.98504,0.98989,0.74923,0.95694,0.40685,0.93756,0.001189,0.001189,0.001189
91,815.624,1.05415,0.45319,1.00547,0.98319,0.98504,0.99005,0.74906,0.95593,0.40646,0.93748,0.00109,0.00109,0.00109
92,1471.38,1.03993,0.44764,0.99327,0.98268,0.98504,0.99019,0.74851,0.95505,0.40641,0.93706,0.000991,0.000991,0.000991
93,2092.42,1.03545,0.43965,0.99173,0.98138,0.98504,0.99034,0.74931,0.95382,0.4065,0.93645,0.000892,0.000892,0.000892
94,2720.94,1.02676,0.43684,0.98656,0.98262,0.98667,0.99044,0.74929,0.95284,0.40569,0.93603,0.000793,0.000793,0.000793
95,3346.52,1.02334,0.43404,0.98496,0.98262,0.98697,0.99047,0.7504,0.95118,0.405,0.93544,0.000694,0.000694,0.000694
96,3966.31,1.01233,0.42947,0.98145,0.97074,0.99751,0.99059,0.7506,0.95044,0.40351,0.9349,0.000595,0.000595,0.000595
97,4585.75,1.00691,0.42641,0.97993,0.98143,0.99002,0.99071,0.75137,0.94914,0.40186,0.93416,0.000496,0.000496,0.000496
98,5208.52,0.99866,0.42128,0.97509,0.98266,0.98953,0.99087,0.75331,0.9467,0.4018,0.93382,0.000397,0.000397,0.000397
99,5827.49,0.99114,0.41662,0.97449,0.9851,0.98955,0.99191,0.75382,0.9457,0.40186,0.93324,0.000298,0.000298,0.000298
100,6445.56,0.99084,0.41553,0.97263,0.98507,0.98697,0.99207,0.75386,0.94423,0.40116,0.93263,0.000199,0.000199,0.000199
